,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
783,Lot 2,180743295,10-12-11-21,Sao Paulo,B335222107_10_12_11_21_001.jp2,,11280/00884162,96.8,,,,,,,,,,,,,
784,Lot 2,180743597,10-12-11-22,Barra de Santos,B335222107_10_12_11_22_001.jp2,,11280/c63ecccd,80.9,,,,,,,,,,,,,
785,Lot 2,180877569,10-12-12-01,Plan topographique de la république orientale de l'Uruguay,B335222107_10_12_12_01_001.jp2,,11280/73c08993,23.3,,,,,,,,,,,,,
786,Lot 2,180878530,10-12-12-02,Nuevo Mapa de la Republica Oriental del Uruguay,B335222107_10_12_12_02_001.jp2,,11280/3bcf4e8e,372.3,,,,,,,,,,,,,
787,Lot 2,171152506,10-12-13-02,Provincia de Corrientes,B335222107_10_12_13_02_001.jp2,,11280/d6cb5262,64.9,,,,,,,,,,,,,
788,Lot 2,171154517,10-12-13-03,Provincia de Mendoza,B335222107_10_12_13_03_001.jp2,,11280/32e02bd6,65.4,,,,,,,,,,,,,
789,Lot 2,171153413,10-12-13-04,Provincia de La Rioja,B335222107_10_12_13_04_001.jp2,,11280/1ab7f438,64.2,,,,,,,,,,,,,
790,Lot 2,171154576,10-12-13-05,Gobernacion del Neuquen,B335222107_10_12_13_05_001.jp2,,11280/b5edb56f,65.0,,,,,,,,,,,,,
791,Lot 2,180988328,10-12-15-01,Ramon M. Castro,B335222107_10_12_15_01_001.jp2,,11280/d6f910cb,41.5,,,,,,,,,,,,,
792,Lot 2,180989669,10-12-15-02,Campo de Mayo,B335222107_10_12_15_02_001.jp2,,11280/bc55b610,61.7,,,,,,,,,,,,,
793,Lot 2,180999907,10-12-15-03,Mapa de la Republica Argentina,B335222107_10_12_15_03_001.jp2,,11280/d8777d61,45.2,,,,,,,,,,,,,
794,Lot 2,181001241,10-12-15-04,"Republica Argentina - Superficie, poblacion, ferrocarriles, cultivos y ganados",B335222107_10_12_15_04_001.jp2,,11280/9a06e30d,141.4,,,,,,,,,,,,,
795,Lot 2,181006359,10-12-15-05,Esquisse de la Patagonie (République Argentine),B335222107_10_12_15_05_001.jp2,,11280/42b908da,29.3,,,11280/1b2fc74e,11280/1b095257,11280/00361aaf,,52.2,,,,,,
796,Lot 2,181008092,10-12-15-06,Plano topografico de la region norte argentina limitrofe con Bolivia,B335222107_10_12_15_06_001.jp2,,11280/524800bb,115.4,,,,,,,,,,,,,
797,Lot 2,181010569,10-12-16-01,Mapa de la Provincia de Buenos Aires [Nord-Ouest],B335222107_10_12_16_01_001.jp2,,11280/9932e750,111.5,,,11280/9bb2f3d0,11280/b3836a93,11280/ab935d2e,,184.7,,,,,,
798,Lot 2,181010569,10-12-16-02,Mapa de la Provincia de Buenos Aires [Nord-Est],B335222107_10_12_16_02_001.jp2,,11280/c4c23b38,116.8,,,11280/5e75c589,11280/1e93d1e1,11280/9b2106ac,,197.5,,,,,,
799,Lot 2,181010569,10-12-16-03,Mapa de la Provincia de Buenos Aires [Sud-Ouest],B335222107_10_12_16_03_001.jp2,,11280/9e96a06c,112.1,,,11280/2ea6be6f,11280/99d03195,11280/a8d6fffa,,178.9,,,,,,
