,Lot,PPN,cote,titre,nom de fichier attendu v2,Nalaka (JP2),handle Nakala jp2,poids (MB),georef,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,poids (MB).1,northlimit,southlimit,westlimit,eastlimit,group,Notes
1452,Lot 4,223323977,04-07-03-61,Kalfafellsstadur,B335222107_04_07_03_61_001.jp2,,11280/74975293,86.2,,,,,,,,,,,,,
1453,Lot 4,223375268,04-07-04-71,Botnsheidi S.A.,B335222107_04_07_04_71_001.jp2,,11280/015784c2,82.7,,,,,,,,,,,,,
1454,Lot 4,223375969,04-07-04-75,Hengill N.A.,B335222107_04_07_04_75_001.jp2,,11280/fbfd2d87,81.4,,,,,,,,,,,,,
1455,Lot 4,22337735X,04-07-04-80,Hlödufell S.V.,B335222107_04_07_04_80_001.jp2,,11280/2d311e6f,81.4,,,,,,,,,,,,,
1456,Lot 4,223377848,04-07-04-81,Hlödufell S.A.,B335222107_04_07_04_81_001.jp2,,11280/f2627a47,82.2,,,,,,,,,,,,,
1457,Lot 4,22337881X,04-07-04-98,Kirkjubaejarklaustur N.A. og S.A.,B335222107_04_07_04_98_001.jp2,,11280/280cf34e,85.1,,,,,,,,,,,,,
1458,Lot 4,221070516,04-14-01-01,Mer du Nord. De Dunkerque à Hoek van Holland,B335222107_04_14_01_01_001.jp2,,11280/e6bff472,212.8,,10.34847/nkl.959cw873,,,,,352.0,,,,,,
1459,Lot 4,22107323X,04-14-04-02,Carte de la Manche,B335222107_04_14_04_02_001.jp2,,11280/7a667f25,204.5,,10.34847/nkl.2de32ob6,,,,,,,,,,,
1460,Lot 4,221229744,04-15-02-02,Côtes d'Italie. Plan du port de Gênes et de ses environs,B335222107_04_15_02_02_001.jp2,,11280/4bce9823,213.8,,10.34847/nkl.cea7so0u,,,,,,,,,,,
1461,Lot 4,223404136,04-15-03-03,"Carte de la partie de la Méditerranée comprise entre la côte d'Italie, du canal de Piombino au golfe de Naples, la Corse et la Sardaigne",B335222107_04_15_03_03_001.jp2,,11280/e9ba20d2,212.0,,10.34847/nkl.0d8f9xl6,,,,,,,,,,,
1462,Lot 4,223429503,04-15-04-02,Carte du détroit de Messine (Italie méridionale),B335222107_04_15_04_02_001.jp2,,11280/84c8c26d,205.5,,10.34847/nkl.fb16tamc,,,,,,,,,,,
1463,Lot 4,223431508,04-15-04-03,Méditerranée. Côtes de Sicile et de la régence de Tunisie,B335222107_04_15_04_03_001.jp2,,11280/5ee65ebc,210.8,,10.34847/nkl.2e9280sd,,,,,,,,,,,
1464,Lot 4,223434418,04-15-04-05,Carte générale de l'île de Sardaigne,B335222107_04_15_04_05_001.jp2,,11280/dd4868d5,215.2,,10.34847/nkl.ed6ai55s,,,,,,,,,,,
1465,Lot 4,223442305,04-15-04-06,"Sicile. Côte nord-est. De Taormina au cap Cefalù (Îles Lipari, Détroit de Messine)",B335222107_04_15_04_06_001.jp2,,11280/83ed4dbc,203.2,,10.34847/nkl.ee1fi80y,,,,,,,,,,,
1466,Lot 4,223443980,04-15-04-07,Sicile. Côte sud est. Du cap Scalambri à l'entrée sud du détroit de Messine,B335222107_04_15_04_07_001.jp2,,11280/fece19e0,212.6,,10.34847/nkl.399210y8,,,,,,,,,,,
1467,Lot 4,223447013,04-15-05-01,Golf von Fiume,B335222107_04_15_05_01_001.jp2,,11280/6357dc37,146.4,,10.34847/nkl.8fdcdray,,,,,,,,,,,
1468,Lot 4,149251432,04-15-06-02,Carte de la partie septentrionale de l'Archipel,B335222107_04_15_06_02_001.jp2,,11280/c1fdc4a4,215.5,,10.34847/nkl.50bam1k4,,,,,,,,,,,
1469,Lot 4,149213239,04-15-06-08,Mer Méditerranée. Grèce. Golfe de Corinthe,B335222107_04_15_06_08_001.jp2,,11280/fdf50a7b,230.7,,10.34847/nkl.b43a5d99,,,,,,,,,,,
1470,Lot 4,14929672X,04-15-07-02,Carte du Bosphore,B335222107_04_15_07_02_001.jp2,,11280/035eb529,206.3,,,,,,,,,,,,,
1471,Lot 4,223498904,04-15-07-03,Carte générale de la Mer Noire,B335222107_04_15_07_03_001.jp2,,11280/f9ae5550,179.0,,10.34847/nkl.d78972b7,,,,,,,,,,,
1472,Lot 4,223501522,04-15-07-04,Carte de la mer de Marmara,B335222107_04_15_07_04_001.jp2,,11280/b38ccd91,190.7,,,,,,,,,,,,,
1473,Lot 4,203817370,05-03-06-06,Berchtesgaden,B335222107_05_03_06_06_001.jp2,,11280/22c3340c,90.3,,10.34847/nkl.194e8eun,,,,,,,,,,,
1474,Lot 4,203820525,05-03-06-07,St Bartholomä,B335222107_05_03_06_07_001.jp2,,11280/067eda4e,87.6,,10.34847/nkl.446103o0,,,,,140.8,,,,,,
1475,Lot 4,129067806,05-04-01-01,Geologische spezialkarte von Württemberg,B335222107_05_04_01_01_001.jp2,,11280/de8df44f,129.0,,10.34847/nkl.ef138823,,,,,,,,,,,
1476,Lot 4,203661370,05-04-01-02,Köln,B335222107_05_04_01_02_001.jp2,,11280/6c7fdc6b,126.8,,10.34847/nkl.aab12cm0,,,,,,,,,,,
1477,Lot 4,203710509,05-04-01-03,Geologische übersichtskarte von Württemberg und Baden,B335222107_05_04_01_03_001.jp2,,11280/204585dd,135.9,,10.34847/nkl.b207w43k,,,,,,,,,,,
1478,Lot 4,203890728,05-04-02-01,Karte des Umgebung von Berlin,B335222107_05_04_02_01_001.jp2,,11280/5d27f245,146.6,,10.34847/nkl.fcabzu4n,,,,,,,,,,,
1479,Lot 4,228471192,05-05-07-01,Düsseldorf,B335222107_05_05_07_01_001.jp2,,11280/25f1725c,141.6,,10.34847/nkl.3ebe15pi,,,,,,,,,,,
1480,Lot 4,228473926,05-05-07-04,Cöln,B335222107_05_05_07_04_001.jp2,,11280/500922c7,154.7,,10.34847/nkl.e9dbly8r,,,,,242.1,,,,,,
1481,Lot 4,228693357,05-05-07-19,Metz,B335222107_05_05_07_19_001.jp2,,11280/2660ec8f,161.9,,10.34847/nkl.463c91e8,,,,,,,,,,,
1482,Lot 4,228738466,05-05-07-35,Schiltigheim,B335222107_05_05_07_35_001.jp2,,11280/4192c5d8,150.3,,10.34847/nkl.6e30da86,,,,,306.7,,,,,,
1483,Lot 4,228776465,05-05-07-37,Strassburg,B335222107_05_05_07_37_001.jp2,,11280/078849d2,147.4,,10.34847/nkl.f40f2s7o,,,,,231.1,,,,,,
1484,Lot 4,228780691,05-05-07-38,Plobsheim,B335222107_05_05_07_38_001.jp2,,11280/096df401,152.0,,10.34847/nkl.f75895qs,,,,,,,,,,,
1485,Lot 4,228787688,05-05-07-39,Markolsheim,B335222107_05_05_07_39_001.jp2,,11280/48962c3e,179.3,,10.34847/nkl.86eet598,,,,,289.8,,,,,,
1486,Lot 4,228792681,05-05-07-40,Neubrisach,B335222107_05_05_07_40_001.jp2,,11280/a4f8cb2d,134.6,,10.34847/nkl.1c2879ah,,,,,,,,,,,
1487,Lot 4,228793408,05-05-08-01,Gemersheim,B335222107_05_05_08_01_001.jp2,,11280/134ff6bf,176.5,,10.34847/nkl.4cdb7e4h,,,,,285.7,,,,,,
1488,Lot 4,186278039,06-01-02-01,Zwolle,B335222107_06_01_02_01_001.jp2,,11280/aafb4f05,158.9,,10.34847/nkl.fc6fxcue,,,,,,,,,,,
1489,Lot 4,186278594,06-01-02-02,Harderwijk,B335222107_06_01_02_02_001.jp2,,11280/61182ac8,157.6,,10.34847/nkl.70de3924,,,,,202.2,,,,,,
1490,Lot 4,186278829,06-01-02-03,Hattem,B335222107_06_01_02_03_001.jp2,,11280/f28a88cb,167.6,,10.34847/nkl.c55ccp86,,,,,303.9,,,,,,
1491,Lot 4,186279051,06-01-02-04,Zutphen,B335222107_06_01_02_04_001.jp2,,11280/3155bdf6,169.0,,10.34847/nkl.e376cgrp,,,,,262.8,,,,,,
1492,Lot 4,224279726,06-01-02-05,Rotterdam,B335222107_06_01_02_05_001.jp2,,11280/6ace2bcc,170.0,,10.34847/nkl.a54dl013,,,,,,,,,,,
1493,Lot 4,228467624,06-06-06-01,Topographische karte der Schweiz,B335222107_06_06_06_01_001.jp2,,11280/9ad90ef7,150.5,,,,,,,,,,,,,
1494,Lot 4,227524985,06-06-06-02,Belfort-Basel,B335222107_06_06_06_02_001.jp2,,11280/2466dcf4,159.9,,10.34847/nkl.0f9b84fm,,,,,,,,,,,
1495,Lot 4,227528263,06-06-06-03,Liestal-Schaffhausen,B335222107_06_06_06_03_001.jp2,,11280/23be39f9,162.8,,10.34847/nkl.d3e7ao44,,,,,,,,,,,
1496,Lot 4,227529898,06-06-06-04,Frauenfeld-St Gallen,B335222107_06_06_06_04_001.jp2,,11280/078ec92b,165.2,,10.34847/nkl.cd0bc5mm,,,,,,,,,,,
1497,Lot 4,227541901,06-06-06-05,Rheineck,B335222107_06_06_06_05_001.jp2,,11280/b008561c,156.9,,10.34847/nkl.a44b4r6f,,,,,260.7,,,,,,
1498,Lot 4,227573595,06-06-06-06,Besançon-Le Locle,B335222107_06_06_06_06_001.jp2,,11280/d98946d6,159.5,,10.34847/nkl.1fe43mv7,,,,,275.1,,,,,,
1499,Lot 4,227575083,06-06-06-07,Porrentruy-Solothurn,B335222107_06_06_06_07_001.jp2,,11280/f6ad99ed,170.0,,10.34847/nkl.f882npx0,,,,,261.3,,,,,,
1500,Lot 4,227630211,06-06-06-08,Aarau Luzern-Zug Zurich,B335222107_06_06_06_08_001.jp2,,11280/def47ae7,171.4,,10.34847/nkl.dbefjeyw,,,,,270.1,,,,,,
1501,Lot 4,227631013,06-06-06-09,Schwyz Glarus-Appenzel Sargans,B335222107_06_06_06_09_001.jp2,,11280/44cf85ae,172.1,,10.34847/nkl.ceb005l2,,,,,,,,,,,
1502,Lot 4,227633008,06-06-06-10,Feldkirch-Arlberg,B335222107_06_06_06_10_001.jp2,,11280/87b49305,161.6,,10.34847/nkl.ed678952,,,,,294.8,,,,,,
1503,Lot 4,227669584,06-06-06-11,Pontarlier-Yverdon,B335222107_06_06_06_11_001.jp2,,11280/ee1e0c56,163.9,,10.34847/nkl.d9e26zm6,,,,,270.8,,,,,,
1504,Lot 4,227690230,06-06-06-12,Freyburg-Bern,B335222107_06_06_06_12_001.jp2,,11280/dd1c0e62,170.3,,10.34847/nkl.5dcb3eam,,,,,,,,,,,
1505,Lot 4,227794184,06-06-06-13,Interlaken-Sarnen Stans,B335222107_06_06_06_13_001.jp2,,11280/e5099e10,170.4,,10.34847/nkl.cffcislr,,,,,,,,,,,
1506,Lot 4,227795458,06-06-06-14,Altdorf-Chur,B335222107_06_06_06_14_001.jp2,,11280/50aba57a,171.7,,10.34847/nkl.bde661m2,,,,,220.6,,,,,,
1507,Lot 4,227797086,06-06-06-15,Davos-Martinsbruck,B335222107_06_06_06_15_001.jp2,,11280/fc4fb7fd,171.3,,10.34847/nkl.c8ccne07,,,,,310.1,,,,,,
1508,Lot 4,227810139,06-06-06-16,Genève-Lausanne,B335222107_06_06_06_16_001.jp2,,11280/f84baaec,166.6,,10.34847/nkl.f50dxa5i,,,,,,,,,,,
1509,Lot 4,227811089,06-06-06-17,Vevey-Sion,B335222107_06_06_06_17_001.jp2,,11280/4fdd0b20,170.7,,10.34847/nkl.eccfuel5,,,,,,,,,,,
1510,Lot 4,22781164X,06-06-06-18,Brig-Airolo,B335222107_06_06_06_18_001.jp2,,11280/bf0bcb95,170.0,,10.34847/nkl.dd86tzi7,,,,,,,,,,,
1511,Lot 4,227812220,06-06-06-19,Bellinzona-Chiavenna,B335222107_06_06_06_19_001.jp2,,11280/14d8594a,170.9,,10.34847/nkl.d0635781,,,,,,,,,,,
1512,Lot 4,22781259X,06-06-06-20,Sondrio-Bormio,B335222107_06_06_06_20_001.jp2,,11280/2a665d70,167.9,,10.34847/nkl.99ff3d8u,,,,,,,,,,,
1513,Lot 4,227813669,06-06-06-21,[Tableau d'assemblage],B335222107_06_06_06_21_001.jp2,,11280/ad5c4da2,159.2,,10.34847/nkl.4fd9trq5,,,,,280.6,,,,,,
1514,Lot 4,227815149,06-06-06-22,Martigny-Aoste,B335222107_06_06_06_22_001.jp2,,11280/c9749742,167.0,,10.34847/nkl.a049hc2a,,,,,,,,,,,
1515,Lot 4,227815912,06-06-06-23,Domo d'Ossola-Arona,B335222107_06_06_06_23_001.jp2,,11280/a4ad2f52,165.9,,10.34847/nkl.afcdunbg,,,,,,,,,,,
1516,Lot 4,227817516,06-06-06-24,Lugano-Como,B335222107_06_06_06_24_001.jp2,,11280/5ac1204e,166.1,,10.34847/nkl.59f601qo,,,,,278.0,,,,,,
1517,Lot 4,22781830X,06-06-06-25,Höhen der vorzüglichsten punkte,B335222107_06_06_06_25_001.jp2,,11280/0fcb26d6,158.6,,10.34847/nkl.1cde4338,,,,,278.8,,,,,,
1518,Lot 4,227312171,06-08-03-135,Orbetello,B335222107_06_08_03_135_001.jp2,,11280/3305307c,82.7,,10.34847/nkl.a79er0pd,,,,,123.6,,,,,,
1519,Lot 4,227312821,06-08-03-184,Napoli,B335222107_06_08_03_184_001.jp2,,11280/a9a8be3f,83.4,,10.34847/nkl.19d8m030,,,,,125.1,,,,,,
1520,Lot 4,227267443,06-08-03-32,Como,B335222107_06_08_03_32_001.jp2,,11280/fd61aa28,86.0,,10.34847/nkl.eb48764f,,,,,122.5,,,,,,
1521,Lot 4,227293584,06-08-03-40,Palmanova,B335222107_06_08_03_40_001.jp2,,11280/d821f934,83.3,,10.34847/nkl.0d8fuz85,,,,,122.4,,,,,,
1522,Lot 4,227302168,06-08-03-51,Venezia,B335222107_06_08_03_51_001.jp2,,11280/c0b74e4a,83.2,,10.34847/nkl.7ee7xjdm,,,,,121.4,,,,,,
1523,Lot 4,227303598,06-08-03-56,Torino,B335222107_06_08_03_56_001.jp2,,11280/e9cd011e,86.0,,10.34847/nkl.fbf535gl,,,,,121.7,,,,,,
1524,Lot 4,227304438,06-08-03-77,Comacchio,B335222107_06_08_03_77_001.jp2,,11280/f8a92a26,83.4,,10.34847/nkl.9dcd44y7,,,,,122.0,,,,,,
1525,Lot 4,200069187,06-09-04-01,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_01_001.jp2,,11280/a25a420e,153.7,,10.34847/nkl.9e0dw23i,,,,,225.5,,,,,,
1526,Lot 4,200069187,06-09-04-02,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_02_001.jp2,,11280/984ee981,154.7,,10.34847/nkl.b24db5a6,,,,,222.9,,,,,,
1527,Lot 4,200069187,06-09-04-03,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_03_001.jp2,,11280/7967e020,153.8,,10.34847/nkl.a6c09y63,,,,,220.4,,,,,,
1528,Lot 4,200069187,06-09-04-04,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_04_001.jp2,,11280/542682c9,152.0,,10.34847/nkl.c1db63q5,,,,,220.1,,,,,,
1529,Lot 4,200069187,06-09-04-05,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_05_001.jp2,,11280/35e1d101,146.7,,10.34847/nkl.cded4sb2,,,,,210.5,,,,,,
1530,Lot 4,200069187,06-09-04-06,Carta Topografica del Monte Vesuvio,B335222107_06_09_04_06_001.jp2,,11280/d23ea823,151.8,,10.34847/nkl.26eci8o7,,,,,220.6,,,,,,
1531,Lot 4,223882194,08-14-01-02,Mediterranean. Suez Canal. Port Saïd,B335222107_08_14_01_02_001.jp2,,11280/fec1b6bc,92.5,,,,,,,,,,,,,
1532,Lot 4,224042823,08-14-03-05,Algérie. Plan de Dellys,B335222107_08_14_03_05_001.jp2,,11280/3a2fd41c,108.9,,,,,,,,,,,,,
1533,Lot 4,224068334,08-14-03-08,Algérie. Plan des baies de Philippeville et Stora,B335222107_08_14_03_08_001.jp2,,11280/8bebe0ca,108.9,,,,,,,,,,,,,
1534,Lot 4,224073206,08-14-03-11,Algérie. Plan de Nemours (Djema Gazouat),B335222107_08_14_03_11_001.jp2,,11280/2d229d0d,110.9,,,,,,,,,,,,,
1535,Lot 4,22412434X,08-14-04-02,Mediterranean. Tunis. South Coast. Approaches to Bizerta (Benzert),B335222107_08_14_04_02_001.jp2,,11280/92b67f67,97.3,,,,,,,,,,,,,
1536,Lot 4,224147617,08-14-04-07,Tunisie. Du cap Kamart au Ras-al-Fortas. Baie de Tunis.,B335222107_08_14_04_07_001.jp2,,11280/b827e441,220.5,,,,,,,,,,,,,
1537,Lot 4,224195042,08-14-05-01,Plan de la presqu'île du cap Verd et de la rade de Gorée ; Dakar. Situées sur la côte occidentale d'Afrique,B335222107_08_14_05_01_001.jp2,,11280/8091c07a,207.9,,,,,,,,,,,,,
1538,Lot 4,224206001,08-14-05-04,Côte occidentale d'Afrique. Du Sénégal au cap Roxo,B335222107_08_14_05_04_001.jp2,,11280/ecb7b70e,210.0,,,,,,,,,,,,,
1539,Lot 4,224213849,08-14-06-05,Côte occidentale d'Afrique. De Sierra Leone au cap Lopez : Golfe de Guinée,B335222107_08_14_06_05_001.jp2,,11280/3d3984d9,219.1,,,,,,,,,,,,,
1540,Lot 4,224217100,08-14-07-01,Afrique - Côte occidentale. De la pointe Banda à la rivière Coanza,B335222107_08_14_07_01_001.jp2,,11280/a8922eb4,110.4,,,,,,,,,,,,,
1541,Lot 4,179293141,08-14-07-13,Côte ouest d'Afrique. Baie de Pointe Noire,B335222107_08_14_07_13_001.jp2,,11280/4ceb775e,208.3,,,,,,,,,,,,,
1542,Lot 4,224235060,08-14-08-01,Indian Ocean. Comoro Islands with the adjacent coasts of Africa and Madagascar,B335222107_08_14_08_01_001.jp2,,11280/b5445fca,182.8,,,,,,,,,,,,,
1543,Lot 4,223727679,09-21-01-01,South Pacific – Partie A,B335222107_09_21_01_01_001_A.jp2,,11280/9eed956d,235.2,,,,,,,,,,,,,
1544,Lot 4,223727679,09-21-01-01,South Pacific – Partie B,B335222107_09_21_01_01_001_B.jp2,,11280/d5e4a27b,168.7,,,,,,,,,,,,,
1545,Lot 4,223643319,09-21-02-01,Mer Rouge. Golfe de Suez,B335222107_09_21_02_01_001.jp2,,11280/5af57567,219.0,,,11280/aa3221e2,11280/5852228d,11280/3d64aadb,11280/38c1ae1d,,,,,,,
1546,Lot 4,223750271,09-21-03-06,Arabia Gulf of Aden - North coast / Aden Anchorage. Aden and adjacent bays,B335222107_09_21_03_06_001.jp2,,11280/97ba0fc0,193.0,,,,,,,,,,,,,
1547,Lot 4,223763330,09-21-06-01,Ceylon - Sth. coast. Point de Galle Harbour,B335222107_09_21_06_01_001.jp2,,11280/eeba6f19,102.1,,,,,,,,,,,,,
1548,Lot 4,223805998,09-21-09-03,Mer de Chine. Rade de Singapour,B335222107_09_21_09_03_001.jp2,,11280/6ad17af1,211.8,,,,,,,,,,,,,
1549,Lot 4,223807206,09-21-10-02,Cochinchine. Plan du port de Saigon,B335222107_09_21_10_02_001.jp2,,11280/5c010373,223.3,,,,,,,,,,,,,
1550,Lot 4,223849685,09-21-11-02,China Sea. Formosa Id. and strait,B335222107_09_21_11_02_001.jp2,,11280/64f34069,187.9,,,,,,,,,,,,,
1551,Lot 4,22385476X,09-21-11-04,Chine - Côte Est. Port de Shanghaï,B335222107_09_21_11_04_001.jp2,,11280/b748ab6d,232.4,,,,,,,,,,,,,
1552,Lot 4,198357001,10-02-15-07,Carte provisoire de pêche des fonds cotiers du Maroc. Région d'Agadir (Cap Ghir-Oued Sous),B335222107_10_02_15_07_001.jp2,,11280/ec515850,114.3,,,11280/415183be,11280/fed3e47d,11280/0ad24cc2,11280/62f53ca9,,,,,,,
1553,Lot 4,198358709,10-02-15-08,Carte provisoire de pêche. Côte ouest d'Afrique. Maroc. Du cap Fedala au cap de Mazagan,B335222107_10_02_15_08_001.jp2,,11280/0d854b2f,217.4,,,11280/9774a20a,11280/0b6906b6,11280/5476c344,11280/88d43207,,,,,,,
1554,Lot 4,158314824,10-03-16-01,Carte géologique provisoire de l'Afrique équatoriale française,B335222107_10_03_16_01_001.jp2,,11280/edff2069,188.2,,,11280/d81f34a0,11280/62c5622a,11280/fd600d42,11280/cfb5c794,,,,,,,
1555,Lot 4,09101493X,10-03-16-02,"Carte géologique des bassins du Niari, de la Nyanga, du Haut-Ogooué et du Djoué",B335222107_10_03_16_02_001.jp2,,11280/c0917590,288.7,,,11280/d4de5daa,11280/47b3672e,11280/04859162,11280/e399deeb,,,,,,,
1556,Lot 4,185448615,10-05-09-09,Cartographie régulière. Afrique Occidentale Française. Thiès,B335222107_10_05_09_09_001.jp2,,11280/39aa8977,164.2,,,11280/a679709a,11280/a71ec2d3,11280/d77831fb,11280/68e256c8,,,,,,,
1557,Lot 4,122345592,10-07-06-06,Colonia de Angola. Carte géologique,B335222107_10_07_06_06_001.jp2,,11280/472cd5d8,152.7,,,11280/79e51200,11280/369d376a,11280/32db8069,11280/bb12fe19,,,,,,,
1558,Lot 4,196776252,10-07-06-07,Mission Rohan-Chabot (mars 1912-janvier1914),B335222107_10_07_06_07_001.jp2,,11280/10597231,210.7,,,11280/2ab13e13,11280/4e0f1ee5,11280/b182c09c,11280/7f42e9e9,,,,,,,
1559,Lot 4,052396037,10-07-08-07,Carte de l'isthme de Suez,B335222107_10_07_08_07_001.jp2,,11280/fb16f4fa,143.8,,,11280/bddc4d23,11280/f40e9c13,11280/222b86de,11280/a72b163b,,,,,,,
1560,Lot 4,199826579,10-09-07-12,Germany and its approaches,B335222107_10_09_07_12_001.jp2,,11280/c98be0f8,256.7,,10.34847/nkl.c85963d5,,,,,359.2,,,,,,
1561,Lot 4,114897433,10-10-01-06,Castillae Novae,B335222107_10_10_01_06_001.jp2,,11280/f4d2d5db,72.6,,,,,,,,,,,,,
1562,Lot 4,200871870,10-10-02-02,Carte administrativa stradale della provincia di Milano,B335222107_10_10_02_02_001.jp2,,11280/5aec47f2,80.0,,10.34847/nkl.64a8tx0t,,,,,109.4,,,,,,
1563,Lot 4,200825585,10-10-02-03,Carte administrativa stradale della provincia di Padova,B335222107_10_10_02_03_001.jp2,,11280/df29f0dd,63.2,,10.34847/nkl.0dcb0yl5,,,,,93.8,,,,,,
1564,Lot 4,200873725,10-10-02-04,Carte administrativa stradale della provincia di Torino,B335222107_10_10_02_04_001.jp2,,11280/78156d4d,149.6,,10.34847/nkl.df08qdhp,,,,,218.8,,,,,,
1565,Lot 4,200875205,10-10-02-05,Carte administrativa stradale della provincia di Alessandria,B335222107_10_10_02_05_001.jp2,,11280/81ea85bd,113.2,,10.34847/nkl.d1838e0p,,,,,133.8,,,,,,
1566,Lot 4,200149792,10-10-03-01,Karte der Bairischen und Algauer Alpen. Ost-Alpen,B335222107_10_10_03_01_001.jp2,,11280/b4bb4af3,115.9,,10.34847/nkl.724ff2o9,,,,,146.5,,,,,,
1567,Lot 4,20018783X,10-10-03-02,Karte der Oesterreichischen Alpen und des Wiener Waldes. Ost Alpen,B335222107_10_10_03_02_001.jp2,,11280/6c9dd03e,116.1,,10.34847/nkl.b6a938s9,,,,,153.9,,,,,,
1568,Lot 4,200195727,10-10-03-03,"Karte der Osttiroler Alpen, Tauern und Dolomiten. Ost Alpen",B335222107_10_10_03_03_001.jp2,,11280/06e0de85,117.5,,10.34847/nkl.d0d0564i,,,,,141.0,,,,,,
1569,Lot 4,200198637,10-10-03-04,"Karte der Steierrischen Alpen, und der Karawanken. Ost Alpen",B335222107_10_10_03_04_001.jp2,,11280/dbb649d1,114.6,,10.34847/nkl.c8f7t7xi,,,,,145.4,,,,,,
1570,Lot 4,200200135,10-10-03-05,"Karte der Lombardischen und Sud Tiroler Alpen, Ost Alpen",B335222107_10_10_03_05_001.jp2,,11280/d6893255,115.0,,10.34847/nkl.7f705f1t,,,,,,,,,,,
1571,Lot 4,199778302,10-10-07-08,Carte des placers aurifères de la Haute-Italie,B335222107_10_10_07_08_001.jp2,,11280/c77d9489,94.8,,10.34847/nkl.f2eb9pt7,,,,,147.8,,,,,,
1572,Lot 4,19978101X,10-10-07-09,Pianta di Roma,B335222107_10_10_07_09_001.jp2,,11280/b65f6160,79.6,,10.34847/nkl.1d61dhq7,,,,,124.6,,,,,,
1573,Lot 4,199794367,10-10-07-10,Carta delle Strade ferrate italiane,B335222107_10_10_07_10_001.jp2,,11280/f7c1732b,205.9,,10.34847/nkl.fc0e4d1a,,,,,339.6,,,,,,
1574,Lot 4,199800952,10-10-09-08,Europe orientale : Danzig-Trieste-Istanbul,B335222107_10_10_09_08_001.jp2,,11280/273474de,192.2,,10.34847/nkl.04ce0ucy,,,,,314.7,,,,,,
1575,Lot 4,199806977,10-10-10-10,Carte des Balkans,B335222107_10_10_10_10_001.jp2,,11280/56627a2c,94.6,,10.34847/nkl.b63fhcm4,,,,,126.4,,,,,,
1576,Lot 4,199810176,10-10-10-12,L'Italie et les Balkans,B335222107_10_10_10_12_001.jp2,,11280/e7543631,116.6,,10.34847/nkl.70a01tqc,,,,,298.6,,,,,,
1577,Lot 4,200143093,10-11-19-02,Green river from the Union Pacific Rail Road to the mouth of White river. 1873,B335222107_10_11_19_02_001.jp2,,11280/58929418,159.1,,,,,,,,,,,,,
1578,Lot 4,200143093,10-11-19-03,Green river from the Union Pacific Rail Road to the mouth of White river. 1873,B335222107_10_11_19_03_001.jp2,,11280/1d22846e,164.6,,,,,,,,,,,,,
1579,Lot 4,19836590X,10-13-01-05,"Amérique, Océanie",B335222107_10_13_01_05_001.jp2,,11280/5f6a380f,180.6,,,,,,,,,,,,,
1580,Lot 4,200202553,10-14-05-01,"L'Europe septentrionale, environ 12 000 ans avant l'époque actuelle",B335222107_10_14_05_01_001.jp2,,11280/b78e89a9,37.0,,,,,,,,,,,,,
1581,Lot 4,22099000X,10-14-05-05,"Voyage au pôle nord, projet de M. Gustave Lambert",B335222107_10_14_05_05_001.jp2,,11280/78b82aa9,20.2,,,,,,,,,,,,,
1582,Lot 4,193349213,10-14-05-07,Pôle arctique,B335222107_10_14_05_07_001.jp2,,11280/77453673,68.6,,,,,,,,,,,,,
1583,Lot 4,200109162,10-14-05-08,Karta ofer Antarctics kurs,B335222107_10_14_05_08_001.jp2,,11280/99da1278,85.3,,,,,,,,,,,,,
1584,Lot 4,200083449,10-14-05-09,The arctic regions,B335222107_10_14_05_09_001.jp2,,11280/1f91d813,171.1,,,,,,,,,,,,,
1585,Lot 4,200050036,10-14-07-09,The circulation in the north and south Atlantic oceans,B335222107_10_14_07_09_001.jp2,,11280/bddedd29,164.3,,,,,,,,,,,,,
1586,Lot 4,200051377,10-14-08-01,"Itinéraires du yacht ""l'Hirondelle"" dans l'océan Atlantique nord en 1885, 1886, 1887, 1888",B335222107_10_14_08_01_001.jp2,,11280/d131cce6,182.1,,,,,,,,,,,,,
1587,Lot 4,,10-14-10-01,Grand Orient de France. Suprême Conseil pour la France et ses possessions coloniales,B335222107_10_14_10_01_001.jp2,,11280/0baf1a64,92.0,,,,,,,,,,,,,
1588,Lot 4,227969464,10-15-01-01,"Frontières françaises du nord et du nord-est en 1792, 1801, 1814, 1815, 1871",B335222107_10_15_01_01_001.jp2,,11280/0f64dfde,215.5,,10.34847/nkl.fd961869,,,,,419.2,,,,,,
1589,Lot 4,227969464,10-15-01-02,Frontière nord de l'Alsace en 1814 et 1815,B335222107_10_15_01_02_001.jp2,,11280/925e233d,50.6,,10.34847/nkl.fc0c9k17,,,,,85.5,,,,,,
1590,Lot 4,227969464,10-15-01-03,La Sarre en aval de Sarreguemines. Carte physique. Pour servir à l'étude des frontières,B335222107_10_15_01_03_001.jp2,,11280/8eb87689,53.1,,10.34847/nkl.bebe92y2,,,,,97.0,,,,,,
1591,Lot 4,227969464,10-15-01-04,Frontière lorraine en 1814 et 1815,B335222107_10_15_01_04_001.jp2,,11280/83a0a85f,50.4,,10.34847/nkl.5b640428,,,,,93.2,,,,,,
